DATE,indprod,income,sales,emp
2003-10-01,94.4038,9399.9,1021527.0,130486
2003-11-01,95.3852,9474.4,1023705.0,130489
2003-12-01,95.1658,9473.9,1022527.0,130610
2004-01-01,95.2002,9458.7,1016808.0,130777
2004-02-01,95.8917,9462.0,1022878.0,130835
2004-03-01,95.7315,9493.3,1049123.0,131163
2004-04-01,96.1026,9527.1,1038053.0,131417
2004-05-01,96.8705,9585.6,1039745.0,131714
2004-06-01,96.0905,9594.1,1039052.0,131796
2004-07-01,96.9593,9639.5,1042660.0,131841
2004-08-01,97.4035,9661.2,1050354.0,131957
2004-09-01,97.453,9676.6,1055321.0,132114
2004-10-01,98.5578,9687.9,1054648.0,132462
2004-11-01,98.5077,9664.4,1058606.0,132525
2004-12-01,99.242,10028.3,1074485.0,132651
2005-01-01,100.0043,9724.8,1078622.0,132798
2005-02-01,100.8894,9725.0,1077814.0,133042
2005-03-01,100.4052,9758.0,1070573.0,133180
2005-04-01,100.7486,9775.2,1087441.0,133538
2005-05-01,101.0534,9821.4,1084706.0,133710
2005-06-01,101.249,9862.1,1095469.0,133957
2005-07-01,100.8958,9905.6,1094829.0,134328
2005-08-01,101.3738,9903.1,1097704.0,134524
2005-09-01,100.3058,9864.0,1092251.0,134590
2005-10-01,101.8867,9925.5,1092223.0,134676
2005-11-01,102.7397,10002.2,1105057.0,135013
2005-12-01,102.9319,10068.9,1113236.0,135168
2006-01-01,103.757,10193.3,1118050.0,135450
2006-02-01,103.4087,10264.1,1120978.0,135762
2006-03-01,103.2983,10288.6,1123080.0,136059
2006-04-01,103.8215,10285.8,1112450.0,136227
2006-05-01,103.4278,10268.0,1120799.0,136258
2006-06-01,103.8717,10288.8,1117590.0,136337
2006-07-01,103.6162,10275.1,1115827.0,136543
2006-08-01,104.389,10269.8,1121724.0,136722
2006-09-01,104.4751,10346.8,1117718.0,136870
2006-10-01,104.0757,10426.6,1119501.0,136882
2006-11-01,104.1192,10479.3,1121303.0,137090
2006-12-01,105.7423,10507.3,1137388.0,137263
2007-01-01,105.1768,10497.8,1130367.0,137497
2007-02-01,105.634,10532.9,1137955.0,137582
2007-03-01,106.6056,10575.1,1138826.0,137796
2007-04-01,107.3663,10587.0,1136935.0,137855
2007-05-01,107.2952,10583.2,1145722.0,138008
2007-06-01,107.6918,10578.6,1141136.0,138085
2007-07-01,107.8278,10592.8,1138244.0,138055
2007-08-01,107.5451,10592.2,1151455.0,138027
2007-09-01,108.0953,10613.4,1152180.0,138123
2007-10-01,107.7732,10592.9,1155628.0,138201
2007-11-01,108.3901,10588.6,1153212.0,138307
2007-12-01,108.595,10622.1,1147266.0,138411
2008-01-01,108.1857,10637.3,1152183.0,138419
2008-02-01,107.4764,10657.5,1137218.0,138338
2008-03-01,107.1653,10673.2,1121144.0,138283
2008-04-01,105.9874,10607.4,1136200.0,138054
2008-05-01,105.4575,10561.8,1126704.0,137870
2008-06-01,104.7399,10494.9,1124894.0,137716
2008-07-01,103.4841,10453.9,1106906.0,137503
2008-08-01,102.1936,10483.8,1096142.0,137226
2008-09-01,98.5323,10465.3,1067217.0,136783
2008-10-01,98.0011,10497.9,1055089.0,136308
2008-11-01,95.6411,10529.2,1028942.0,135549
2008-12-01,92.2682,10420.7,1023336.0,134842
2009-01-01,89.4245,10227.5,1000768.0,134055
2009-02-01,89.372,10077.7,1005768.0,133351
2009-03-01,87.7958,10010.8,985406.0,132549
2009-04-01,87.2207,9999.9,978282.0,131845
2009-05-01,86.3033,10001.6,976269.0,131491
2009-06-01,86.0178,9933.1,974099.0,131022
2009-07-01,87.4058,9894.2,991095.0,130680
2009-08-01,88.4677,9860.4,990106.0,130484
2009-09-01,89.2644,9838.9,990690.0,130255
2009-10-01,89.4082,9830.2,994658.0,130046
2009-11-01,90.3289,9847.9,1003259.0,130058
2009-12-01,90.1721,9864.2,1007307.0,129781
2010-01-01,91.3035,9823.1,1001504.0,129799
2010-02-01,91.3271,9791.4,1008381.0,129726
2010-03-01,92.4819,9810.5,1021117.0,129919
2010-04-01,93.3263,9906.0,1029274.0,130140
2010-05-01,94.6417,9991.4,1027859.0,130662
2010-06-01,94.515,10000.3,1036467.0,130522
2010-07-01,95.0853,10027.4,1048281.0,130444
2010-08-01,95.2487,10042.4,1049492.0,130428
2010-09-01,95.2698,10043.7,1050625.0,130365
2010-10-01,95.3367,10083.4,1051984.0,130632
2010-11-01,95.3808,10120.3,1057303.0,130761
2010-12-01,95.8623,10207.6,1058790.0,130834
2011-01-01,96.0824,10377.5,1070953.0,130878
2011-02-01,96.2363,10420.3,1055798.0,131060
2011-03-01,96.8538,10407.3,1070267.0,131314
2011-04-01,96.2957,10388.8,1061408.0,131637
2011-05-01,96.4189,10389.2,1056784.0,131718
2011-06-01,96.5073,10458.7,1068773.0,131952
2011-07-01,97.1315,10522.8,1071867.0,132024
2011-08-01,97.5123,10517.9,1080005.0,132136
2011-09-01,97.831,10491.8,1073363.0,132369
2011-10-01,98.3836,10492.2,1085499.0,132578
2011-11-01,98.1184,10478.9,1080201.0,132723
2011-12-01,98.8301,10574.4,1088893.0,132924
2012-01-01,99.7118,10660.9,1095416.0,133272
2012-02-01,100.0821,10738.4,1098744.0,133505
2012-03-01,99.6028,10768.5,1097654.0,133769
2012-04-01,100.21,10798.9,1100916.0,133841
2012-05-01,99.843,10806.8,1106032.0,133958
2012-06-01,100.1032,10834.8,1099213.0,134026
2012-07-01,100.0189,10806.0,1104949.0,134182
2012-08-01,99.8422,10802.8,1101955.0,134355
2012-09-01,99.8216,10863.7,1107540.0,134549
2012-10-01,99.4837,10943.9,1100633.0,134702
2012-11-01,100.2038,11113.9,1121401.0,134832
2012-12-01,101.0769,11446.6,1126593.0,135075
2013-01-01,100.7339,10724.1,1129823.0,135282
2013-02-01,101.2919,10724.7,1133609.0,135547
2013-03-01,101.1885,10735.7,1122586.0,135703
2013-04-01,100.7916,10769.0,1126149.0,135882
2013-05-01,101.0433,10828.0,1138055.0,136122
2013-06-01,101.3095,10855.1,1134074.0,136280
2013-07-01,100.2262,10837.1,1132832.0,136391
2013-08-01,101.1791,10867.0,1137502.0,136651
2013-09-01,101.2679,10900.8,1142174.0,136852
2013-10-01,101.3921,10871.3,1148423.0,137062
2013-11-01,101.3925,10914.1,1160122.0,137283
2013-12-01,101.4164,10933.2,1158109.0,137376
2014-01-01,100.2006,10981.4,1144107.0,137550
2014-02-01,101.3034,11054.8,1153948.0,137732
2014-03-01,102.1737,11116.3,1165044.0,137993
2014-04-01,102.0449,11130.3,1163861.0,138304
